CO_CODE	DIST_CODE	SCH_CODE	TOTAL
23	3140	090	24.0
23	3220	050	21.4
23	3220	060	19.9
23	3290	005	26.3
23	3290	010	19.8
23	3290	020	23.9
23	3290	030	21.3
23	3290	040	19.9
23	3290	050	22.7
23	3290	060	20.7
23	3530	050	15.6
23	3530	055	16.2
23	3530	060	19.7
23	3530	080	19.6
23	3530	090	20.9
23	3530	100	20.2
23	3530	110	17.1
23	3530	123	15.4
23	3530	125	20.6
23	3530	140	18.5
23	3620	040	21.0
23	3620	055	17.4
23	3620	060	20.4
23	3620	065	19.3
23	3620	070	23.8
23	3620	090	19.1
23	3845	040	21.6
23	3845	082	18.1
23	3845	103	24.4
23	3845	105	21.0
23	3845	108	21.3
23	3845	110	21.9
23	3845	113	22.7
23	3845	120	16.6
23	3845	130	18.0
23	3845	133	20.4
23	3845	140	21.7
23	3845	150	17.6
23	3845	163	18.0
23	3845	165	17.8
23	3845	170	22.5
23	4090	050	20.9
23	4090	065	21.8
23	4090	070	23.8
23	4090	075	15.6
23	4090	080	14.9
23	4090	130	17.2
23	4090	140	21.4
23	4090	145	18.0
23	4090	150	22.7
23	4090	200	19.5
23	4130	050	21.8
23	4130	053	18.4
23	4130	055	21.8
23	4130	057	18.8
23	4130	060	23.3
23	4130	065	21.3
23	4130	080	25.2
23	4130	100	22.3
23	4130	105	22.9
23	4130	120	24.0
23	4660	050	18.9
23	4660	055	24.1
23	4660	060	17.6
23	4660	070	21.8
23	4660	075	21.2
23	4660	085	19.5
23	4660	120	19.9
23	4830	030	21.1
23	4830	060	22.4
23	4860	050	23.2
23	4860	055	18.2
23	4860	060	20.0
23	4860	070	18.8
23	4860	075	23.4
23	4860	085	22.0
23	4860	095	20.1
23	4860	100	20.5
23	4860	110	20.5
23	4860	150	25.1
23	4910	050	20.9
23	4910	053	16.3
23	4910	055	16.2
23	4910	058	20.9
23	4910	060	18.6
23	4910	070	17.6
23	4910	080	18.2
23	4910	085	10.6
23	4920	050	21.1
23	4920	055	23.7
23	4920	065	22.4
23	4920	070	27.5
23	4970	040	16.7
23	4970	050	21.4
23	4970	060	19.8
23	4970	090	22.5
23	5850	020	17.6
23	5850	040	17.8
23	5850	045	15.1
23	5850	050	15.9
23	5850	060	19.4
23	5850	070	14.9
23	5850	080	13.3
23	5850	090	15.9
23	5850	100	23.6
23	5850	110	20.9
23	5850	120	20.3
23	5850	140	20.1
23	5850	150	13.4
23	5850	160	19.9
23	5850	180	20.0
23	5850	200	21.9
23	5850	210	15.0
23	5850	220	19.8
